time_s,Q_m3s
0.0,1821.4400625975861
3600.0,1881.3186311063355
7200.0,1889.4250534331286
10800.0,1937.5386047608624
14400.0,1908.1854805410885
18000.0,1854.0089271725774
21600.0,2017.81657778704
25200.0,1948.1160668324628
28800.0,1999.132990537014
32400.0,1999.7501968720676
36000.0,1910.143614967443
39600.0,1881.2790059660908
43200.0,1739.5570424364728
46800.0,1816.6801259371045
50400.0,1633.408919687735
54000.0,1664.276730368277
57600.0,1607.31377232219
61200.0,1645.5798321641319
64800.0,1631.3657257344003
68400.0,1559.7422238825568
72000.0,1629.2442355559676
75600.0,1615.2043939134135
79200.0,1694.7278259969446
82800.0,1791.0566494191778
86400.0,1735.841370435177
90000.0,1958.3034364009482
93600.0,1883.7247957540021
97200.0,1985.4462756412586
100800.0,2100.3623141844982
104400.0,1905.4757541773217
108000.0,1976.0979229169393
111600.0,1979.3139282314346
115200.0,1926.78258329979
118800.0,2009.35327303521
122400.0,1900.643310468841
126000.0,1936.9062298769
129600.0,1789.7473893049805
133200.0,1792.2398633949392
136800.0,1704.9609209905661
140400.0,1668.1316598541207
144000.0,1674.8366332281212
147600.0,1675.817311131261
151200.0,1591.3613159152444
154800.0,1598.2643174034247
158400.0,1626.5819319852599
162000.0,1683.2867703194227
165600.0,1651.9061376480838
169200.0,1758.1225311706273
172800.0,1881.6599604255227
176400.0,1793.926975500599
180000.0,1897.388436857098
183600.0,2044.9801089809337
187200.0,1945.2956387833487
190800.0,1946.231982590142
194400.0,2016.840259109325
198000.0,1995.5494331714583
201600.0,2024.2508622095888
205200.0,1861.879167513525
208800.0,1914.0602746853447
212400.0,1872.8851623404332
216000.0,1815.0402682605059
219600.0,1733.9173011323078
223200.0,1740.1228605070407
226800.0,1756.9921041472912
230400.0,1666.9868700526097
234000.0,1653.1522918298679
237600.0,1658.4068346285362
241200.0,1631.8123855900906
244800.0,1625.7317940207522
248400.0,1708.4569652406542
252000.0,1810.0492289749511
255600.0,1808.5030968178044
259200.0,1807.301494129964
262800.0,1931.7922079948182
266400.0,1961.2837232362504
270000.0,2015.1143772376925
273600.0,1874.7904743244555
277200.0,2007.8810423471857
280800.0,2101.1861009008876
284400.0,2090.9599654237945
288000.0,1974.3145362951411
291600.0,1916.5041216691732
295200.0,1866.117184241135
298800.0,1864.2539548309155
302400.0,1815.3460342148974
306000.0,1796.430418221029
309600.0,1718.261296052765
313200.0,1655.2382747104873
316800.0,1648.924659720601
320400.0,1632.7604625301803
324000.0,1610.3608788740646
327600.0,1565.6527823276901
331200.0,1651.244376134184
334800.0,1660.324648282022
338400.0,1709.956670096066
342000.0,1716.6466562786634
345600.0,1851.987205622709
349200.0,1887.4069700425196
352800.0,1779.569857462445
356400.0,2001.3269142611234
