time_s,Q_m3s
0.0,791.7167727130209
3600.0,802.6339484100679
7200.0,871.1968923264996
10800.0,837.8795326335908
14400.0,845.5146099453718
18000.0,864.6661244668011
21600.0,846.1232447534786
25200.0,832.2237835892763
28800.0,829.82828824464
32400.0,826.6084041012119
36000.0,819.1867241002641
39600.0,828.1453709820807
43200.0,801.3468625523676
46800.0,807.1039354791992
50400.0,778.208501227278
54000.0,773.6329464463597
57600.0,719.5686982288728
61200.0,782.3904975761839
64800.0,767.995929970922
68400.0,784.2564302366811
72000.0,698.9460937516865
75600.0,820.1671906368641
79200.0,776.8306996899425
82800.0,816.001436200988
86400.0,775.0530233427967
90000.0,825.2611155851316
93600.0,794.097007263311
97200.0,812.7958205228487
100800.0,882.5791475220492
104400.0,833.8512156754654
108000.0,845.4910523919151
111600.0,860.5391166656067
115200.0,847.0642750314024
118800.0,832.0335167050744
122400.0,828.9895554403777
126000.0,868.7932631806467
129600.0,798.6282419280539
133200.0,794.4221920354129
136800.0,804.5964888232138
140400.0,797.3213561867992
144000.0,792.6251227751625
147600.0,775.9629112884294
151200.0,733.949682652461
154800.0,798.6830890993288
158400.0,739.0482769773097
162000.0,778.7330019198587
165600.0,762.3605344029277
169200.0,788.1387855052687
172800.0,807.9015197112558
176400.0,818.1765076010516
180000.0,830.3907847971661
183600.0,868.3946832447333
187200.0,846.008917240632
190800.0,832.5058327862503
194400.0,864.3070019847978
198000.0,868.575117732237
201600.0,803.9138275979149
205200.0,843.1404950306437
208800.0,837.2604791248317
212400.0,803.1299751878628
216000.0,833.0285344011644
219600.0,786.1034278850749
223200.0,782.9493642863125
226800.0,767.7195250129278
230400.0,765.7273268280046
234000.0,736.3332971373829
237600.0,727.1769404652393
241200.0,797.7939615895658
244800.0,745.9224605076415
248400.0,748.773937242992
252000.0,729.6208058756913
255600.0,774.5213650236258
259200.0,768.3418809194865
262800.0,850.3773970798679
266400.0,844.947111337531
270000.0,811.2861516490381
273600.0,891.151661534156
277200.0,863.4453029570255
280800.0,831.9182315801806
284400.0,775.8511818158269
288000.0,892.1159618834962
291600.0,793.8546655425159
295200.0,779.6206365311426
298800.0,835.3164522078645
302400.0,858.661382854877
306000.0,822.542665018728
309600.0,793.2946282439191
313200.0,785.5833581526634
316800.0,785.0521863968133
320400.0,778.7949131312356
324000.0,766.5069710802152
327600.0,763.838485874949
331200.0,764.0172928915592
334800.0,754.3546264657864
338400.0,773.528887492676
342000.0,749.6357758775225
345600.0,797.9167949656794
349200.0,786.5925513034861
352800.0,793.1269863281634
356400.0,833.043514136809
360000.0,869.7975770794897
363600.0,862.0402648556781
367200.0,800.7012972601202
370800.0,814.021404621781
374400.0,858.4951746966345
378000.0,804.1500150786819
381600.0,814.756815459668
385200.0,824.0108518306004
388800.0,777.0294293730444
392400.0,792.418560164586
396000.0,749.0437862746442
399600.0,758.0562936383362
403200.0,772.9697103504886
406800.0,725.2292910597614
410400.0,770.3101881585226
414000.0,761.1786168522735
417600.0,778.3147207484337
421200.0,777.169415403978
424800.0,812.2027905438586
428400.0,792.8889345831764
432000.0,790.2315943974686
435600.0,813.8792923027352
439200.0,833.9321736281029
442800.0,830.0627831554172
446400.0,836.2260026933898
450000.0,821.534158198442
453600.0,823.8550869564208
457200.0,803.8953495585606
460800.0,879.0467898088353
464400.0,797.9186549365776
468000.0,803.500882128929
471600.0,793.4273628367644
475200.0,822.0371389899993
478800.0,783.1925933616811
482400.0,809.7477621357364
486000.0,756.6379144773508
489600.0,772.2900323092458
493200.0,742.7879651450913
496800.0,809.4598019464438
500400.0,734.7367562811093
504000.0,772.9983151782776
507600.0,786.9236745035333
511200.0,790.2202185296828
514800.0,785.7921903115541
518400.0,797.7804484369249
522000.0,812.330333311599
525600.0,817.3018243141296
529200.0,853.1936393626419
532800.0,890.9916602836257
536400.0,825.5383609955459
540000.0,806.3867776180125
543600.0,837.3565361716586
547200.0,900.2461976479228
550800.0,809.2231399156074
554400.0,861.2897585293091
558000.0,852.0958040132434
561600.0,787.5985901678881
565200.0,804.029280238836
568800.0,819.0244896019752
572400.0,763.7963344659561
576000.0,761.5400585933378
579600.0,748.9181160218887
583200.0,737.6921947518994
586800.0,747.3724125875216
590400.0,738.0854634524708
594000.0,773.373540206767
597600.0,762.8395225494694
601200.0,796.0797249943216
604800.0,763.9393782723188
608400.0,819.7711382890769
612000.0,841.9164279701407
615600.0,780.0507622802503
619200.0,845.4246023813042
622800.0,870.9844464658541
626400.0,810.8766183444723
630000.0,882.196619452571
633600.0,846.5523180739515
637200.0,812.1274335314749
640800.0,820.0029545537935
644400.0,825.3097861369616
648000.0,803.1707812681391
651600.0,803.757689566229
655200.0,759.7300540580318
658800.0,776.9393515434599
662400.0,734.1299042727594
666000.0,760.0968960351317
669600.0,740.6327019647609
