Branch,Segment_Index,Distance_km,Month,Season,Flow_Multiplier,Q_lat_m3_s,NH4_load_g_s,NO3_load_g_s,PO4_load_g_s,TOC_load_g_s,DIC_load_g_s,Is_Polder_Zone
Tien_Main,0,0,9,wet,9.0,0.018000000000000002,2.4526579968058413,1.3689253935660508,0.3992699064567648,8.555783709787818,3.9926990645676477,True
Tien_Main,0,1,9,wet,9.0,0.018000000000000002,2.4526579968058413,1.3689253935660508,0.3992699064567648,8.555783709787818,3.9926990645676477,True
Tien_Main,1,2,9,wet,9.0,0.018000000000000002,2.4526579968058413,1.3689253935660508,0.3992699064567648,8.555783709787818,3.9926990645676477,True
Tien_Main,1,3,9,wet,9.0,0.018000000000000002,2.4526579968058413,1.3689253935660508,0.3992699064567648,8.555783709787818,3.9926990645676477,True
Tien_Main,2,4,9,wet,9.0,0.018000000000000002,2.4526579968058413,1.3689253935660508,0.3992699064567648,8.555783709787818,3.9926990645676477,True
Tien_Main,2,5,9,wet,9.0,0.018000000000000002,2.4526579968058413,1.3689253935660508,0.3992699064567648,8.555783709787818,3.9926990645676477,True
Tien_Main,3,6,9,wet,9.0,0.018000000000000002,2.4526579968058413,1.3689253935660508,0.3992699064567648,8.555783709787818,3.9926990645676477,True
Tien_Main,3,7,9,wet,9.0,0.018000000000000002,2.4526579968058413,1.3689253935660508,0.3992699064567648,8.555783709787818,3.9926990645676477,True
Tien_Main,4,8,9,wet,9.0,0.018000000000000002,2.4526579968058413,1.3689253935660508,0.3992699064567648,8.555783709787818,3.9926990645676477,True
Tien_Main,4,9,9,wet,9.0,0.018000000000000002,2.4526579968058413,1.3689253935660508,0.3992699064567648,8.555783709787818,3.9926990645676477,True
Tien_Main,5,10,9,wet,9.0,0.018000000000000002,2.4526579968058413,1.3689253935660508,0.3992699064567648,8.555783709787818,3.9926990645676477,True
Tien_Main,5,11,9,wet,9.0,0.018000000000000002,2.4526579968058413,1.3689253935660508,0.3992699064567648,8.555783709787818,3.9926990645676477,True
Tien_Main,6,12,9,wet,9.0,0.018000000000000002,2.4526579968058413,1.3689253935660508,0.3992699064567648,8.555783709787818,3.9926990645676477,True
Tien_Main,6,13,9,wet,9.0,0.018000000000000002,2.4526579968058413,1.3689253935660508,0.3992699064567648,8.555783709787818,3.9926990645676477,True
Tien_Main,7,14,9,wet,9.0,0.018000000000000002,2.4526579968058413,1.3689253935660508,0.3992699064567648,8.555783709787818,3.9926990645676477,True
Tien_Main,7,15,9,wet,9.0,0.018000000000000002,2.4526579968058413,1.3689253935660508,0.3992699064567648,8.555783709787818,3.9926990645676477,True
Tien_Main,8,16,9,wet,9.0,0.018000000000000002,2.4526579968058413,1.3689253935660508,0.3992699064567648,8.555783709787818,3.9926990645676477,True
Tien_Main,8,17,9,wet,9.0,0.018000000000000002,2.4526579968058413,1.3689253935660508,0.3992699064567648,8.555783709787818,3.9926990645676477,True
Tien_Main,9,18,9,wet,9.0,0.018000000000000002,2.4526579968058413,1.3689253935660508,0.3992699064567648,8.555783709787818,3.9926990645676477,True
Tien_Main,9,19,9,wet,9.0,0.018000000000000002,2.4526579968058413,1.3689253935660508,0.3992699064567648,8.555783709787818,3.9926990645676477,True
Tien_Main,10,20,9,wet,9.0,0.018000000000000002,2.4526579968058413,1.3689253935660508,0.3992699064567648,8.555783709787818,3.9926990645676477,True
Tien_Main,10,21,9,wet,9.0,0.018000000000000002,2.4526579968058413,1.3689253935660508,0.3992699064567648,8.555783709787818,3.9926990645676477,True
Tien_Main,11,22,9,wet,9.0,0.018000000000000002,2.4526579968058413,1.3689253935660508,0.3992699064567648,8.555783709787818,3.9926990645676477,True
Tien_Main,11,23,9,wet,9.0,0.018000000000000002,2.4526579968058413,1.3689253935660508,0.3992699064567648,8.555783709787818,3.9926990645676477,True
Tien_Main,12,24,9,wet,9.0,0.018000000000000002,2.4526579968058413,1.3689253935660508,0.3992699064567648,8.555783709787818,3.9926990645676477,True
Tien_Main,12,25,9,wet,9.0,0.018000000000000002,2.4526579968058413,1.3689253935660508,0.3992699064567648,8.555783709787818,3.9926990645676477,True
Tien_Main,13,26,9,wet,9.0,0.018000000000000002,2.4526579968058413,1.3689253935660508,0.3992699064567648,8.555783709787818,3.9926990645676477,True
Tien_Main,13,27,9,wet,9.0,0.018000000000000002,2.4526579968058413,1.3689253935660508,0.3992699064567648,8.555783709787818,3.9926990645676477,True
Tien_Main,14,28,9,wet,9.0,0.018000000000000002,2.4526579968058413,1.3689253935660508,0.3992699064567648,8.555783709787818,3.9926990645676477,True
Tien_Main,14,29,9,wet,9.0,0.018000000000000002,2.4526579968058413,1.3689253935660508,0.3992699064567648,8.555783709787818,3.9926990645676477,True
Tien_Main,15,30,9,wet,9.0,0.018000000000000002,2.4526579968058413,1.3689253935660508,0.3992699064567648,8.555783709787818,3.9926990645676477,True
Tien_Main,15,31,9,wet,9.0,0.018000000000000002,2.4526579968058413,1.3689253935660508,0.3992699064567648,8.555783709787818,3.9926990645676477,True
Tien_Main,16,32,9,wet,9.0,0.018000000000000002,2.4526579968058413,1.3689253935660508,0.3992699064567648,8.555783709787818,3.9926990645676477,True
Tien_Main,16,33,9,wet,9.0,0.018000000000000002,2.4526579968058413,1.3689253935660508,0.3992699064567648,8.555783709787818,3.9926990645676477,True
Tien_Main,17,34,9,wet,9.0,0.018000000000000002,2.4526579968058413,1.3689253935660508,0.3992699064567648,8.555783709787818,3.9926990645676477,True
Tien_Main,17,35,9,wet,9.0,0.018000000000000002,2.4526579968058413,1.3689253935660508,0.3992699064567648,8.555783709787818,3.9926990645676477,True
Tien_Main,18,36,9,wet,9.0,0.018000000000000002,2.4526579968058413,1.3689253935660508,0.3992699064567648,8.555783709787818,3.9926990645676477,True
Tien_Main,18,37,9,wet,9.0,0.018000000000000002,2.4526579968058413,1.3689253935660508,0.3992699064567648,8.555783709787818,3.9926990645676477,True
Tien_Main,19,38,9,wet,9.0,0.018000000000000002,2.4526579968058413,1.3689253935660508,0.3992699064567648,8.555783709787818,3.9926990645676477,True
Tien_Main,19,39,9,wet,9.0,0.018000000000000002,2.4526579968058413,1.3689253935660508,0.3992699064567648,8.555783709787818,3.9926990645676477,True
Tien_Main,20,40,9,wet,9.0,0.018000000000000002,2.4526579968058413,1.3689253935660508,0.3992699064567648,8.555783709787818,3.9926990645676477,True
Tien_Main,20,41,9,wet,9.0,0.018000000000000002,2.4526579968058413,1.3689253935660508,0.3992699064567648,8.555783709787818,3.9926990645676477,True
Tien_Main,21,42,9,wet,9.0,0.018000000000000002,2.4526579968058413,1.3689253935660508,0.3992699064567648,8.555783709787818,3.9926990645676477,True
Tien_Main,21,43,9,wet,9.0,0.018000000000000002,2.4526579968058413,1.3689253935660508,0.3992699064567648,8.555783709787818,3.9926990645676477,True
Tien_Main,22,44,9,wet,9.0,0.018000000000000002,2.4526579968058413,1.3689253935660508,0.3992699064567648,8.555783709787818,3.9926990645676477,True
Tien_Main,22,45,9,wet,9.0,0.018000000000000002,2.4526579968058413,1.3689253935660508,0.3992699064567648,8.555783709787818,3.9926990645676477,True
Tien_Main,23,46,9,wet,9.0,0.018000000000000002,2.4526579968058413,1.3689253935660508,0.3992699064567648,8.555783709787818,3.9926990645676477,True
Tien_Main,23,47,9,wet,9.0,0.018000000000000002,2.4526579968058413,1.3689253935660508,0.3992699064567648,8.555783709787818,3.9926990645676477,True
Tien_Main,24,48,9,wet,9.0,0.018000000000000002,2.4526579968058413,1.3689253935660508,0.3992699064567648,8.555783709787818,3.9926990645676477,True
Tien_Main,24,49,9,wet,9.0,0.018000000000000002,2.4526579968058413,1.3689253935660508,0.3992699064567648,8.555783709787818,3.9926990645676477,True
Tien_Main,25,50,9,wet,9.0,0.018000000000000002,2.4526579968058413,1.3689253935660508,0.3992699064567648,8.555783709787818,3.9926990645676477,True
Hau_Main,0,0,9,wet,9.0,0.018000000000000002,2.1104266484143284,1.2833675564681726,0.35649098790782574,7.415012548482776,3.5649098790782574,True
Hau_Main,0,1,9,wet,9.0,0.018000000000000002,2.1104266484143284,1.2833675564681726,0.35649098790782574,7.415012548482776,3.5649098790782574,True
Hau_Main,1,2,9,wet,9.0,0.018000000000000002,2.1104266484143284,1.2833675564681726,0.35649098790782574,7.415012548482776,3.5649098790782574,True
Hau_Main,1,3,9,wet,9.0,0.018000000000000002,2.1104266484143284,1.2833675564681726,0.35649098790782574,7.415012548482776,3.5649098790782574,True
Hau_Main,2,4,9,wet,9.0,0.018000000000000002,2.1104266484143284,1.2833675564681726,0.35649098790782574,7.415012548482776,3.5649098790782574,True
Hau_Main,2,5,9,wet,9.0,0.018000000000000002,2.1104266484143284,1.2833675564681726,0.35649098790782574,7.415012548482776,3.5649098790782574,True
Hau_Main,3,6,9,wet,9.0,0.018000000000000002,2.1104266484143284,1.2833675564681726,0.35649098790782574,7.415012548482776,3.5649098790782574,True
Hau_Main,3,7,9,wet,9.0,0.018000000000000002,2.1104266484143284,1.2833675564681726,0.35649098790782574,7.415012548482776,3.5649098790782574,True
Hau_Main,4,8,9,wet,9.0,0.018000000000000002,2.1104266484143284,1.2833675564681726,0.35649098790782574,7.415012548482776,3.5649098790782574,True
Hau_Main,4,9,9,wet,9.0,0.018000000000000002,2.1104266484143284,1.2833675564681726,0.35649098790782574,7.415012548482776,3.5649098790782574,True
Hau_Main,5,10,9,wet,9.0,0.018000000000000002,2.1104266484143284,1.2833675564681726,0.35649098790782574,7.415012548482776,3.5649098790782574,True
Hau_Main,5,11,9,wet,9.0,0.018000000000000002,2.1104266484143284,1.2833675564681726,0.35649098790782574,7.415012548482776,3.5649098790782574,True
Hau_Main,6,12,9,wet,9.0,0.018000000000000002,2.1104266484143284,1.2833675564681726,0.35649098790782574,7.415012548482776,3.5649098790782574,True
